Czas,Mowca,Tekst
"07:13","Mowca 2","A osoba mówi tak, ale ja nie miałem czasu, żeby ich wysłać, w ogóle ich nie wysłałem."
"07:18","Mowca 2","Za dwa tygodnie przyjeżdżamy, no ale ja ich jednak jeszcze nie wysłałem, bo ja zapomniałem."
"07:22","Mowca 2","No to no nie może się odbić audyt certyfikujący, ale ja idę do zarządu, ja mówię, no słuchajcie, mówię, wy płacicie pieniądze, no a tu jest sytuacja taka, że no pracownica dwa miesiące nie może dziesięciu maili wysłać, tak?"
"07:33","Mowca 2","No bo to wstrzymuje całą certyfikację, tak?"
"07:36","Mowca 2","Taka jest prawda."
"07:38","Mowca 1","To jest oferta na system jakości, natomiast wdrożenie to jest dodatkową ofertę."
"07:46","Mowca 2","Możemy."
"07:47","Mowca 1","Wdrożenie i obecność na audycie."
"07:51","Mowca 2","I wykorzystywanie oddzielnej oferty."
"07:53","Mowca 2","Dla wszystkich pracowników wykonanie wszystkich szkoleń."
"07:56","Mowca 2","bo tam są szkolenia z zakresu dobrej praktyki produkcyjnej, mycia, dezynfekcji, zagrożeń chemicznych, fizycznych, mikrobiologicznych, musi być z zakresu alergenów szkolenie, musi być szkolenie z zakresu płód defense i teraz zależy, czy Państwo macie kwalifikowanych, wyszkolonych audytorów wewnętrznych, czy nie."
"08:15","Mowca 2","Jeśli nie, to też ja takie szkolenie wykonam i pod te szkolenia wydajemy zaświadczenia, które są konieczne, w komplecie w Cuzarny."
"08:26","Mowca 2","Ta usługa nie jest jakaś wygórownana cenowo, bo miesiąc czasu takiej współpracy, gdzie my to wszystko przez ten miesiąc ogarniemy, no to kosztuje w granicach 6 do 7 tysięcy złotych, tak?"
"08:38","Mowca 2","Ale ze wszystkimi szkoleniami, ze wszystkim, gdzie koszt samych szkoleń to jest w granicach się..."
"08:43","Mowca 1","Wtedy my musimy fizycznie tu u Państwa być, tak?"
"08:45","Mowca 2","15-16 się zamykają szkolenia, którzy spakietyzowane ze szkoleniami, ze wszystkim, to jest na takiej zasadzie, bo chcemy też, żebyście mieli ten certyfikat, chcemy też dobrze wypaść, tak?"
"08:58","Mowca 2","Więc to nie są jakieś tam..."
"08:59","Mowca 2","Chodzi"
"09:00","Mowca 1","o to, że to wdrożenie, ten czas będzie zależał od Państwa, tak?"
"09:02","Mowca 1","Że my na przykład, powiedzmy, że my oszacujemy, że my to w miesiąc u Państwa wdrożymy, tak?"
"09:06","Mowca 1","Bo my tu musimy fizycznie przyjechać."
"09:08","Mowca 1","Tak jak Wojtek mówi, ze szkoleniami już z obecnością na audycie certyfikującym."
"09:13","Mowca 1","Ale może tak się okazać, że po prostu z Państwa przyczyny, że na przykład nie będzie jakiegoś pracownika, czy będzie na urlopie, czy będą jakieś wielkie zamówienia sezonowe i po prostu miesiąc się Państwo nie wyrobicie, no to wtedy trzeba będzie to po prostu przedłużyć."
"09:24","Mowca 1","To już zależy od Państwa."
"09:25","Mowca 2","Generalnie jest taki fajny system rozegrania tego, Na przykład my startujemy, robimy projekt, zapinamy projekt, tam na projekcie wychodzą jakieś niekiedy zmiany, trzeba jakąś ściankę postawić, jakiś korytarz i na przykład uzgadniamy, że słuchajcie, żeby ten projekt, żeby zakład doszlifować do berce, tak, tu musimy wydzielić ściankę, tu musimy zrobić drzwi, tu musimy zrobić przegrodę."
"09:48","Mowca 2","Pan patrzy, dobra, mi to zajmie dwa miesiące."
"09:51","Mowca 2","W tym czasie robimy sobie dokumentację już BRC, kończymy robić dokumentację BRC, Pan ma na produkcji to zrobione, to ja już zamawiam audytora, w międzyczasie dostaje Pan z dwóch, trzech jednostek certyfikujących wycenę, bo musi być schemat dokumentacji zrobiony, ilość linii, ilość analiz, ilość ocen ryzyka i na tej podstawie jednostka certyfikująca wyceni Pan koszt audytu."
"10:16","Mowca 2","Pan w mailu pisze, że Pan współpracuje z firmą Bioefekt i dostał Pan konta do firmy Bioefekt i prosi Pan o rabaty specjalne ze względu na współpracę z Bioefektem."
"10:26","Mowca 2","Jako mój klient jednostka na pewno da Pan 15, może 20% rabatu."
"10:31","Mowca 2","Ten certyfikat będzie dużo, dużo, będzie Pana dużo taniej kosztował, bo my rocznie na przykład sprowadzamy do jednostki 50-60 klientów, tak?"
"10:39","Mowca 2","I my to mówimy otwarcie."
"10:41","Mowca 2","Pan dostaje dobrą ofertę, na certyfikację, ja zamawiam porządnego audytora, wyznaczamy termin, no i potem dokumenty opracujemy, z panią Justyną się umawiamy, zostaje na przykład półtora miesiąca czasu, no i umawiamy się na jakiś harmonogram wdrożeń i działamy sobie, tak?"
"11:00","Mowca 2","No i oczywiście na audycie Jesteśmy, przyjeżdżamy, to są przeważnie dwa dni audytu, od rana do późnych godzin popołudniowych jedziemy."
"11:08","Mowca 2","My musimy być we dwójkę, niekiedy w trójkę, bo musimy tą dokumentację szybko, sprawnie podawać, tak."
"11:15","Mowca 2","W międzyczasie ktoś od Państwa też musi jakąś kawę, herbatę podać, tak."
"11:20","Mowca 2","No i ogarniamy to tak, żeby było dobrze, tak."
"11:23","Mowca 2","Pani Justyna na pewno takie przeprowadzenie przez produkcję zrobi."
"11:27","Mowca 2","Ja to powiem tak, ja myślę, że ja myślę tak, wiadomo zakład trzeba przygotować, ale szczerze, przejście przez zakład 40 minut zajmie, tak?"
"11:40","Mowca 2","Potem 12 godzin to jest siedzenie nad dokumentami, tak?"
"11:45","Mowca 2","Czyli nawet jak jest taka sytuacja, że państwo, bo państwo jesteście na spotkaniu rozpoczynającym, i Pan potem, żeby Pana nie angażować, to Pana nie musi być."
"11:57","Mowca 2","Pani Justyna no musi być na przeprowadzeniu przez produkcję, zejście z produkcji i też potem może Pani odejść do swoich obowiązków."
"12:05","Mowca 2","Jak jest spotkanie zamykające, no to oczywiście wszyscy, wszyscy jesteście, wszyscy słuchamy, audytor podsumowuje."
"12:12","Mowca 3","Jasne."
"12:14","Mowca 3","Jeżeli chodzi o sam projekt technologiczny, no to jak przyjeżdża się na inwentaryzację, tak?"
"12:20","Mowca 3","To w dwójkę, tak?"
"12:22","Mowca 3","Czy więcej osób?"
"12:23","Mowca 2","My, jeśli przyjedziemy, to góra w trzy osoby, tak?"
"12:27","Mowca 2","Nie więcej."
"12:28","Mowca 2","Mamy taki zespół trzyosobowy."
"12:30","Mowca 2","Generalnie to też od razu mówimy, że nie będziemy jakichś obcych pracowników prowadzać na zakład."
"12:35","Mowca 2","Nas dwójka lub ewentualnie trójka."
"12:37","Mowca 2","Nasz taki pomocnik i też projektant."
"12:39","Mowca 3","A ile wersji rysunków rysujecie?"
"12:43","Mowca 3","To jest także do oporu?"
"12:45","Mowca 2","Nie ma czegoś takiego ile wersji rysunków."
"12:47","Mowca 2","My działamy w ten sposób, że rysujemy do zadowolenia."
"12:50","Mowca 1","A ile wersji pan planuje rozbudowy zakładu?"
"12:53","Mowca 0","Do zadowolenia klienta."
"12:58","Mowca 2","I do akceptacji przez weterynarię."
"13:03","Mowca 2","Tak, ale my rysujemy wersję, spotykamy się z Państwem i ją omawiamy."
"13:10","Mowca 2","Państwo prowadzacie swoje uwagi, poprawki i w każdej umowie, w każdej ofercie macie napisane, że opracowanie tej części graficznej kończy się w momencie, kiedy Państwo zużycie pisemny podpis, nad przekazaniem części graficznej projektu technologicznego, że podpisujecie, że to przyjmujecie, zatwierdzacie, tak?"
"13:30","Mowca 2","Ja mam klientów, że narysuję dwie wersje, jest okej, w tej chwili mam klienta, rysuję piętnastą wersję, no niestety tak działamy, musimy to przeborać, ale już wiemy, że klient nam też nadaje następnego klienta."
"13:41","Mowca 1","Te zmiany i te ustalenia, to pasowanie projektu do wymogów technologicznych i do wymogów weterynaryjnych jest cały czas na bieżąco, tak?"
"13:49","Mowca 2","Na bieżąco."
"13:49","Mowca 1","To nie jest coś takiego, że my"
"13:50","Mowca 2","narysujemy i przywieźmy, My rysujemy, przywozimy propozycje."
"13:54","Mowca 3","No właśnie, a te rysowanie wygląda, że to bardziej u nas czy bardziej u siebie?"
"13:57","Mowca 2","Nie, my rysujemy u siebie wszystko."
"13:59","Mowca 1","Chodzi o to, że my przywieziemy wydruki, pan przedstawi swoją wizję, tak?"
"14:03","Mowca 1","I ewentualnie my powiemy, że ta wizja jest tak prawidłowa."
"14:06","Mowca 1","Czasami możemy powiedzieć, że na przykład tu jest jakiś punkt, że no weterynaria, coś"
"14:10","Mowca 2","tam może się..."
"14:11","Mowca 2","Że trzeba dostawić ściany, trzeba dostawić drzwi, a pan..."
"14:13","Mowca 2","w palce rozburzyć te ściany, w palce duży magazyn."
"14:16","Mowca 1","I najczęściej jest tak, że po każdym"
"14:17","Mowca 2","ustaleniu..."
"14:18","Mowca 2","Można, ale tu na przykład się będą krzyżowały drogi, będzie problem."
"14:22","Mowca 2","My doradzamy."
"14:22","Mowca 2","No i teraz jak to rozstrzygnąć, tak?"
"14:25","Mowca 2","I oczywiście, no, projekt jest wwieziony, musi do weternarii, musi być wynada decyzja zatwierdzająca projekt, to jest..."
"14:31","Mowca 2","Przepraszam, ale nic kolwiek robić, nie?"
"14:33","Mowca 3","Część oficjowa jest od zera, wszystko pisana."
"14:36","Mowca 2","Tak."
"14:36","Mowca 3","Jeżeli chodzi o to, tak?"
"14:37","Mowca 2","Tak."
"14:37","Mowca 3","Nie ma tam jakichś szablonów, czy coś tam, tylko to jest..."
"14:40","Mowca 3","Nie, bo każdy zakład..."
"14:42","Mowca 3","Tak, tak!"
"14:43","Mowca 2","Każdy zakład ma inną sektorologię."
"14:46","Mowca 1","Tu jest jakiś duży zakład, bo tu jest z urwojem, ale też jest masarnia tam dołożona."
"14:52","Mowca 1","Chodzi o to, że w takich wstępnych ustaleniach, jeśli inwestor, jeśli zleceniodawca wie jaką chce rozbudowę, co sobie dobudować i co zmodernizować, to najczęściej po pierwszych ustaleniach przeprowadzimy gotowy wydruk i tylko są drobne niuanse do poprawy."
"15:08","Mowca 2","Ale niekiedy jest tak, że np."
"15:10","Mowca 2","Panu się też może przyśnić, że jednak ja zrobię trochę inaczej i to nie stanowi problemu."
"15:16","Mowca 2","Tu nie ma czegoś takiego, że będzie rysowana ósma wersja i teraz jak to się rozliczymy."
"15:23","Mowca 2","My to przyjmujemy na swój kark, że"
"15:25","Mowca 1","To jest najważniejsze dla weterynarii."
"15:30","Mowca 1","Jakieś drogi uboju, drogi żywca."
"15:33","Mowca 2","Drogi przemieszczania się pracowników."
"15:36","Mowca 2","Tak, tak."
"15:36","Mowca 1","Drogi przemieszczania się pracowników."
"15:39","Mowca 2","Tak, tak."
"15:39","Mowca 1","Drogi przemieszczania się pracowników."
"15:39","Mowca 0","Tak, tak."
"15:39","Mowca 1","Drogi przemieszczania się pracowników."
"15:39","Mowca 3","Tak, tak."
"15:39","Mowca 1","Drogi przemieszczania się pracowników."
"15:40","Mowca 2","Tak, tak."
"15:40","Mowca 2","Drogi przemieszczania się pracowników."
"15:41","Mowca 2","Tak, tak."
"15:41","Mowca 1","Drogi przemieszczania się pracowników."
"15:41","Mowca 3","Tak, tak."
"15:41","Mowca 1","Drogi Usuwanie przemieszczania się pracowników."
"15:42","Mowca 0","Tak, tak."
"15:42","Mowca 0","Drogi przemieszczania się pracowników."
"15:43","Mowca 2","Tak, tak."
"15:43","Mowca 2","Drogi przemieszczania się pracowników."
"15:43","Mowca 2","Tak, tak."
"15:43","Mowca 1","Drogi przemieszczania odpadów, się pracowników."
"15:45","Mowca 1","wejście pracowników do zakładu, Tak, ciąg technologiczny, tu jakaś droga, tu jakaś jest jelit, ale tu będzie droga np."
"15:54","Mowca 1","tak."
"15:54","Mowca 1","Drogi przemieszczania odpady, się prac to wiadomo, jakieś te pióra, to wszystko."
"15:58","Mowca 1","Żołądki, serduszka, podroby, tu wszystko było."
"16:02","Mowca 0","Tak, ale tu właśnie będą zmiany do sytuacji istniejącej, bo będzie nowe urządzenie."
"16:08","Mowca 1","Tak, tak jak Pani mówił."
"16:11","Mowca 2","To wszystko trzeba wyrysować."
"16:13","Mowca 1","Żeby był projekt najnowszy, żeby był aktualny."
"16:16","Mowca 2","Ścianki, tak jak chcemy przebudować, dostosować, to wszystko jest normalną rzeczą."
"16:21","Mowca 2","Także to..."
"16:22","Mowca 3","No dobra."
"16:23","Mowca 3","Gdzieś tam wyburzenia nie wydarzenia."
"16:25","Mowca 3","Bo w tym mamy roku tak naprawdę 3 duże inwestycje, znaczy 2 duże, jedna mała, no bo chodzi o to, że zacznę od małej, to chodzi o tą patrosza, raczej sala, hala patroszenia i hala produkcyjna, te dwie ściany byśmy chcieli przywalić."
"16:41","Mowca 3","To jest taka drobna zmiana, którą byśmy chcieli wprowadzić, co pozwoli."
"16:44","Mowca 3","Druga duża zmiana jest rozwinięcie hali chłodzenia."
"16:49","Mowca 3","Będziemy dokładać chłodnice i będziemy tam jeszcze różne rzeczy robić."
"16:54","Mowca 3","Nie wiem czy to też będzie w planie potrzebnym, tym technologicznym."
"16:59","Mowca 2","Nie, no to trzeba wszystko okupiąc, żeby to było..."
"17:02","Mowca 2","Tak, trzeba, bo to, wiesz..."
"17:02","Mowca 2","Dobrze, bo już oferta..."
"17:03","Mowca 2","Te ściany na tym projekcie muszą być zgodne z tym, co pan chce."
"17:08","Mowca 3","Ściany ścianami, tylko chodzi o chłodnicę, bo my dokładamy chłodnicę, nie ścianami."
"17:12","Mowca 1","Jeśli będzie zwiększone chłodnictwo, to nie będzie widoczne na projekcie, tak?"
"17:15","Mowca 1","Zwiększenie, polepszenie chłodnictwa, to jest już bardziej"
"17:18","Mowca 2","w stanie jakości, tak?"
"17:19","Mowca 2","Jak pan dokłada chłodnicę, tutaj na projekcie mamy tylko wymagania co do temperatury na przykład, tak?"
"17:25","Mowca 2","Natomiast..."
"17:26","Mowca 2","Jak Pan dokłada płodnicę to nie ma problemu, może Pan ją dołożyć niezależnie od projektu."
"17:31","Mowca 2","Ja też chcę jeszcze jedną rzecz bardzo istotną powiedzieć."
"17:34","Mowca 2","Załóżmy, że wykonamy Państwu ten projekt."
"17:39","Mowca 2","I teraz jest na przykład sytuacja taka, że dzwoni Pan za rok czasu czy za dwa lata."
"17:44","Mowca 2","Kurcze ja się na tej hali nie mieszczę."
"17:46","Mowca 2","No chcę do tyłu, do tego zakładu dostawić sobie z płyty warstwowej na szybko coś."
"17:51","Mowca 2","to też nie ma żadnego problemu, bo my mamy narysowany projekt, on u nas już jest, Pan nie będzie płacił za drugi projekt, tylko ja do Pana przyjeżdżam, ja w ciągu tam tygodnia czasu robię Panu zmianę, aktualizację projektu, zatwierdzam wyternalik, to nie ma problemu wtedy."
"18:07","Mowca 2","Pan nie płaci za całe zrobienie całego nowego projektu, bo my to już mamy, tak, tylko dorysowujemy."
"18:12","Mowca 2","Ja już Pan jest naszym klientem, to jakiekolwiek potem zmiany, to jest tylko aktualizacja projektu."
"18:17","Mowca 2","Ja to robię szybko już i..."
"18:19","Mowca 2","i nie ma problemu, bo jesteście, mamy to wyrysowane, więc to jest też jakby taka rzecz, że jeśli się firma po tym przyszłości rozbudowuje, no to to jest projekt opracowany, my go tylko aktualizujemy."
"18:30","Mowca 3","A projekt technologiczny to jak wygląda?"
"18:32","Mowca 3","To jest taka sama książeczka?"
"18:34","Mowca 1","Tak, tak."
"18:34","Mowca 1","Z planami, zgodnie z rozporządzeniem."
"18:35","Mowca 3","My mamy coś takiego?"
"18:36","Mowca 3","Mamy, tak?"
"18:37","Mowca 3","To jakaś stara jest."
"18:38","Mowca 3","I też są takie linie narysowane gdzieś ewakuacyjne, gdzie jest tak?"
"18:42","Mowca 0","Mamy to wszystko."
"18:43","Mowca 2","Tak, bo jest, jest Panie serwiszu rozporządzenie, w którym jest napisane wszystko, co w tym projekcie musi być, tak?"
"18:49","Mowca 2","I teraz jak będziemy robić projekt, to ja się od razu będę, też się pytam o BRDZ-e, bo jeśli byśmy robili projekt i BRC, to ja muszę do projektu od razu, to już nawet w tej cenie nie ma problemu, tylko ja muszę sobie dorzucić dwie mapy, których nie ma w tym rozporządzeniu, ale robiąc Panu BRC do certyfikatu, ja te mapy muszę mieć w projekcie i ja od razu te mapy muszę Panu dorysować wtedy, tak?"
"19:13","Mowca 1","Tak, bo te stare projekty nie są w oparciu o normę BRC, tylko są takie te minimalne przepisy zrobione dla weterynarii."
"19:19","Mowca 2","A tutaj robię także taki projekt zgodnie z rozporządzeniem i do tego projektu dokładam jeszcze dwie mapy, które będą potrzebne."
"19:26","Mowca 3","A to jest w wersji też cyfrowej?"
"19:28","Mowca 2","Tak, przede wszystkim tak."
"19:30","Mowca 2","Po opracowaniu przez nas tego projektu Państwo dostajecie od nas projekt wydruki, nie wiem, 3-4 egzemplarze, ile będziecie chcieli i dostajecie wszystko w wersji elektronicznej w programie DWG Autokad."
"19:42","Mowca 2","I kolejna rzecz, Państwo stajecie się właścicielami tej dokumentacji."
"19:47","Mowca 2","I to jest napisane w ofercie i to jest napisane w umowie."
"19:50","Mowca 2","I teraz o co chodzi w tym?"
"19:51","Mowca 2","Chodzi o to, że Pan dostaje część opisową w PDF, część graficzną Pan dostaje w Autokadzie i przyjeżdża do Pana inne biuro projektowe, to jeśli Pan ma takie życzenie, Pan daje to wszystko do biura projektowego, projektant to otwiera i na tej podstawie, czy robi sobie projekt budowlany, czy robi drugi projekt technologiczny."
"20:11","Mowca 2","Bo są takie sytuacje, jakby po sąsiedzku zgłosiła się do nas firma, wielki zakład, Był nieaktualny projekt, przyjechała pani z wojewódzkiej inspekcji weterynaryjnej, no nie ma, nie jest projekt aktualny."
"20:24","Mowca 2","I wydała decyzję z reżimem wykonalności 30 dni."
"20:28","Mowca 2","Nie ma, że zlituje się."
"20:30","Mowca 2","No i dzwoni, dzwoni tam do nas firma i mówią, że w ciągu, no proszą."
"20:36","Mowca 2","Głupia też sytuacja, bo powiatowy lekarz weterynarii, no przecież znamy mnie dobrze też, no mówi, że on też prosi, no bo wielki zakład na ich terenie zamknął."
"20:45","Mowca 2","My jedziemy, ja mówię, no przydałoby się to w wersji elektronicznej."
"20:48","Mowca 2","Dzwoni przy mnie właściciel firmy, do projektanta, który to robił."
"20:52","Mowca 2","No projektant mówi, tak, my oczywiście panu przekażemy, tylko że koszt wrzucania dokumentacji to jest 58 tysięcy złotych w wersji elektronicznej."
"21:00","Mowca 1","No bo prawa autorska, tak?"
"21:01","Mowca 2","Bo prawa autorskie, wszystko i pan jest właścicielem projektu, tak?"
"21:04","Mowca 1","Tutaj jakby rysunek..."
"21:05","Mowca 2","A my mamy tydzień czasu, żeby to narysować, tak?"
"21:09","Mowca 2","I ja w tym momencie, i jeszcze tam powstają pomiędzy nimi zgrzyty, ja w tym momencie kieruję pięciu pracowników, pracujemy po prostu po 12 godzin na dobę, żeby tą sytuację wyprowadzić."
"21:21","Mowca 2","Decyzję wszystko załatwiamy, wyprowadzamy."
"21:23","Mowca 2","I dlatego w naszych umowach..."
"21:24","Mowca 2","Chodzi o"
"21:24","Mowca 1","to, żeby nie mierzyć później każdego pomieszczenia, tak?"
"21:27","Mowca 2","Tak, i dlatego w naszych umowach i ofertach jest napisane, to jest sposób precyzyjny, że po zakończeniu naszej pracy państwo jesteście właścicielami tej dokumentacji, dysponujecie ją w formie elektronicznej i w formie papierowej."
"21:41","Mowca 2","Mało tego, jeśli ta dokumentacja w ciągu czterech lat wam zginie, spali się, czy ktoś ją ukradnie, to u nas są selwery, które przechowują w sposób automatyczny cztery lata dokumentację, a jeśli jest jakakolwiek współpraca między firmami, że wystarczy, że raz na dwa miesiące jest jakaś tam faktura, to automatycznie serwer nigdy nie kasuje do tej dokumentacji."
"22:02","Mowca 2","Są klienci, którzy są po 15 lat i leżą na naszych serwerach, tak?"
"22:07","Mowca 3","A ile stron ma taki projekt na przykład?"
"22:09","Mowca 3","Ile taki nasz projekt by miał na przykład stron?"
"22:12","Mowca 2","O kurcze, teraz pan nas..."
"22:14","Mowca 2","Nie wiem, 60, 80..."
"22:16","Mowca 2","60, 80, OK."
"22:17","Mowca 3","Tak chce wiedzieć ile mniej więcej to może wyglądać."
"22:20","Mowca 2","60-80 stron myślę, że tak będzie."
"22:24","Mowca 3","A będą ogólnie w tym projekcie oznaczone wszystkie maszyny?"
"22:27","Mowca 3","Tak."
"22:28","Mowca 3","Katalogi i tym podobne."
"22:29","Mowca 2","Będą wrysowane w skali 1 do 100 i będą podpisane i będzie opisane co to jest maszyna."
"22:34","Mowca 3","Ale konkretne modele czy bardziej opisowo?"
"22:37","Mowca 1","Nie konkretne modele, dlatego że jeśli pan konkretne modele będą, to wtedy przy zmianie maszyny będzie pan w projekcie."
"22:45","Mowca 2","Jeśli ja piszę skubarka PCA 03 i pan teraz wymieni to urządzenie do skubania, to pan musi dzwonić w nowy projekt."
"22:55","Mowca 2","Napisałem urządzenie do skubania."
"22:59","Mowca 2","To wymienia pan jedno, wkłada pan drugie."
